id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image
1558443,102386,明星同款Chopard萧邦18K玫瑰金红玉髓爱心戒指女礼物官方正品,https://img.alicdn.com/bao/uploaded/O1CN01erxE2B1uVHnbvmqid_!!6000000006042-0-yinhe.jpg,Chopard/萧邦,13500,,珠宝/钻石/翡翠,1
1233214,89512,JOYSELF大溪地黑珍珠耳环18K金海水珠耳扣耳钉耳饰优雅老钱风,https://img.alicdn.com/bao/uploaded/O1CN01QaFsBd23YLGlB23Wg_!!6000000007267-0-yinhe.jpg,joyself,9975.68,1件8.8折,珠宝/钻石/翡翠,1
328712,"689,512",若华珠宝青花 赞比亚祖母绿宝石手链女18K金彩宝手串串珠手饰礼物,https://img.alicdn.com/bao/uploaded/O1CN01kNYySc1XnquzfgEq2_!!6000000002969-0-yinhe.jpg,若华（饰品）,2541,官方8.5折,珠宝/钻石/翡翠,1
494923,89512,周大生国家宝藏联名黄金套链女足金项链幸福格桑花生日礼物送女友,https://img.alicdn.com/bao/uploaded/O1CN01Z2wluZ21NEPA6MyOy_!!6000000006972-0-yinhe.jpg,Chow Tai Seng/周大生,4123,满3000减450,黄金,1
494865,"689,512",周六福黄金手链定价蝴蝶结足金芙蓉石串珠转运珠手串618礼物官方,https://img.alicdn.com/bao/uploaded/O1CN01La7TsP1YKpKL5h6vv_!!6000000003041-0-yinhe.jpg,ZLF/周六福,608,满500减150,黄金,1
1241251,89512,水贝黄金官方旗舰店足金999貔貅手链玛瑙编织手绳小克重七夕礼物,https://img.alicdn.com/bao/uploaded/O1CN01CDDv7p1hgCWUDLQUN_!!6000000004306-0-yinhe.jpg,水贝,239,,黄金,1
329216,"689,512",老凤祥吉小祥梵杵天工·十字金刚杵手工古法镶钻錾刻黄金耳钉足金,https://img.alicdn.com/bao/uploaded/O1CN012zL5121KMkXbTrwz6_!!6000000001150-0-yinhe.jpg,LFX/老凤祥,3396.08,1件9.7折,珠宝/钻石/翡翠,1
1547506,102386,【七夕礼物】Armani阿玛尼满天星手表女石英时尚AR70008,https://img.alicdn.com/bao/uploaded/O1CN01hbeBBm22OQtFHkufE_!!6000000007110-0-yinhe.jpg,EMPORIO ARMANI/阿玛尼,1994.8,1件6.2折,手表,1
1547529,102386,【3期免息】VERSACE范思哲24年新款瑞士手表女正品女名牌气质,https://img.alicdn.com/bao/uploaded/O1CN01VgqDeq1LmgSVhYgUM_!!6000000001342-0-yinhe.jpg,Versace/范思哲,5730,满7980减430,手表,1
1561069,102386,马克华菲2025年新款小龙女时尚手表小款绿表时来运转送女友小金表,https://img.alicdn.com/bao/uploaded/i3/2201227987016/O1CN01OnTwgi21hNmLOYjLT_!!2-item_pic.png,Mark Fairwhale/马克华菲,99,满1200减1101,手表,1
