id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image
1562757,102386,Apple/苹果 iPhone 16 手机支持移动联通电信5G官方正品官网全网通国行全新双卡双待手机,https://img.alicdn.com/bao/uploaded/O1CN01ZoIq8D1svjivRLXe0_!!6000000005829-0-yinhe.jpg,Apple/苹果,5649,限时优惠350元,手机,1
497408,"6,102,386",美的电饭煲家用青瓷飞快奶油电饭锅5升容量快煮不粘4-8人官方正品,https://img.alicdn.com/bao/uploaded/O1CN01TvhkpJ1sjpP2aSOpg_!!6000000005803-0-yinhe.jpg,Midea/美的,289,官方立减160元,厨房电器,1
1564278,102386,【专属定制】SK-II神仙水面部精华液保湿紧致礼盒skllsk2,https://img.alicdn.com/bao/uploaded/O1CN01nap9RG1oAKIFMJJXV_!!6000000005184-0-yinhe.jpg,SK-II,1730,,美容护肤/美体/精油,1
1544271,104460,【26年10月到期】雀巢绝对深黑黑咖啡即溶速溶深烘美式咖啡/健身,https://img.alicdn.com/bao/uploaded/O1CN01jPQoxl1gZ2fMcnAez_!!6000000004155-2-yinhe.png,Nestle/雀巢,99,,咖啡/麦片/冲饮,1
1564104,102386,【立即抢购】babycare皇室狮子王国纸尿裤透气尿布新生儿4包装,https://img.alicdn.com/bao/uploaded/O1CN01rW71hx1PXLiuHCcx3_!!6000000001850-0-yinhe.jpg,bc babycare,356,满629减127,婴童尿裤,1
28773,110046,【618】麦富迪barf霸弗猫粮冻干鸡肉天然粮乳鸽烘焙营养7.2kg,https://img.alicdn.com/bao/uploaded/O1CN01SdBVzP1EkfIhPCkTE_!!6000000000390-0-yinhe.jpg,MYFOODIE/麦富迪,329,满199减10,宠物/宠物食品及用品,1
1258795,89512,全友家居现代简约云朵单人布艺沙发椅新款客厅卧室复古绿色沙发,https://img.alicdn.com/bao/uploaded/O1CN01vgrmiy1M0smpbhQob_!!6000000001373-0-yinhe.jpg,QuanU/全友,969,1件8.5折,住宅家具,1
1539090,"10,239,480,548",维达抽纸纸巾150抽24包S号整箱实惠装餐巾纸抽卫生纸面巾纸擦手纸,https://img.alicdn.com/bao/uploaded/bao/upload/O1CN011Q8OxA1EomjB5VQgb_!!6000000000399-2-yinhe.png,Vinda/维达,67.9,满29减2,洗护清洁剂/卫生巾/纸/香薰,1
40334,110046,苏泊尔官方旗舰店304不锈钢高压锅家用燃气灶电磁炉防爆压力锅,https://img.alicdn.com/bao/uploaded/O1CN01Ts9BaO295Nl245R27_!!6000000008016-0-yinhe.jpg,Supor/苏泊尔,199,官方立减140元,厨房/烹饪用具,1
497364,102386,【新品】COACH/蔻驰奥莱女士经典标志老花迷你水桶包斜挎包黑色,https://img.alicdn.com/bao/uploaded/O1CN017VqWk225UnN5J7F77_!!6000000007530-0-yinhe.jpg,COACH/蔻驰,1688,,箱包皮具/热销女包/男包,1
1538742,102386,北面经典ICON冲锋衣男Mountain户外防水潮牌TheNorthFace|88XF,https://img.alicdn.com/bao/uploaded/O1CN01Ykd5se1v50x5jmkLm_!!6000000006120-0-yinhe.jpg,THE NORTH FACE/北面,2698,,户外/登山/野营/旅行用品,1
1560807,102386,【自营】Swisse钙片维生素D孕妇钙成人成年人老年人骨质柠檬酸钙,https://img.alicdn.com/bao/uploaded/O1CN01rSxuzL1q0p74fjECj_!!6000000005434-0-yinhe.jpg,swisse,129,每件直降23元,保健食品/膳食营养补充食品,1
494923,89512,周大生国家宝藏联名黄金套链女足金项链幸福格桑花生日礼物送女友,https://img.alicdn.com/bao/uploaded/O1CN01Z2wluZ21NEPA6MyOy_!!6000000006972-0-yinhe.jpg,Chow Tai Seng/周大生,4123,满3000减450,黄金,1
1235015,104460,乐高迪士尼公主仙蒂瑞拉的城堡43206儿童拼插积木玩具生日礼物,https://img.alicdn.com/bao/uploaded/O1CN01VZF6OO24tEgwwwJXN_!!6000000007448-0-yinhe.jpg,LEGO/乐高,749,,玩具/童车/益智/积木/模型,1
